Old	New
5427	5463
11994	897
103	103
3444	3427
6270	6544
22257	22351
38	38
25833	23646
529	547
638	660
62	62
103	415
12	55
7057	6907
11864	12200
23352	23809
13076	12199
16426	22992
8	8
190	190
8438	8595
4983	2789
3761	2810
2856	2429
10287	10788
3444	3427
6844	6942
6517	2037
9030	9091
3436	3329
5932	6191
14031	14284
12141	12371
12512	12411
7591	7620
1043	1043
7971	8233
0	0
678	2146
5980	6045
7808	7905
4706	4873
1865	1873
13743	13443
0	0
5640	5475
6	6
1861	1861
5184	5184
1281	1281
2035	2035
335	335
38	38
2	2
19932	1437
5356	6786
883	884
1328	1262
11796	11651
12483	13327
59	59
6036	6241
178	178
6106	6198
9156	7687
8079	7885
12212	155
6202	6262
1347	0
1684	1685
1085	1125
849	849
326	326
12042	12143
5365	5438
2719	2725
3159	2690
11955	12989
13284	13273
13495	12831
13016	13199
8055	7830
31513	31582
103	103
358	38
9587	9733
642	664
212	200
28763	28757
4853	4842
17468	17462
5279	5276
7015	7501
131	9454
9779	10704
3304	3304
18	18
11524	0
203	199
2	0
2	2
7984	7988
55	55
236	0
12667	12723
68530	68530
43517	46482
9627	9627
5838	5985
1210	1412
11268	11268
13584	14322
1916	1936
38	38
529	547
3699	3524
9431	9794
1032	407
2530	2530
13165	13587
26821	27365
17572	13767
10968	11154
2232	2159
643	643
21257	22538
14486	9821
3175	3175
9461	9635
157	9202
12	55
392	392
12	55
239	239
605	276
16792	16873
369	369
8620	8705
13714	13778
1515	135
6407	6763
6398	6437
584	151
643	643
6665	6309
5474	5632
733	733
826	842
2099	2099
5870	6121
3036	2920
7277	6917
38	38
648	670
405	405
3510	3571
11983	12173
0	18
2807	2776
1159	2114
1857	1857
14	14
38	38
646	666
5099	4297
5928	5952
8513	12247
60	60
12958	3554
7216	6856
6092	6330
3485	3366
15647	149
57	57
1558	2594
5745	5763
8959	8959
1316	2218
13382	13589
8280	9870
27479	26882
5311	5311
1857	1858
5166	5166
642	547
12549	11542
13003	14796
6955	7093
487	25235
5627	5998
2329	2283
87719	0
12764	12821
3773	4050
1300	2261
3375	3379
1061	1998
3859	6551
11026	10984
2167	2172
1857	1857
2584	0
918	915
182	182
3205	3205
19788	20053
16987	6079
5643	5664
465	465
2	2
12648	13159
445	445
2177	2675
389	0
10751	12146
3919	5748
38	38
6073	6036
7848	7930
4569	4583
489	161
668	690
9394	0
2656	2870
8112	8136
27	27
3040	6271
38	38
80	80
12046	0
16781	16448
7504	407
13776	13776
2219	2237
9467	9345
103	103
7568	7707
18867	19165
35696	487
664	686
237	246
6537	6586
4406	4455
6449	4711
5459	5555
3549	3549
2074	1694
459	672
4435	4400
14597	14629
20051	13881
5575	5733
5489	40
7300	7480
8164	8694
6837	6513
0	0
8186	6903
650	547
640	662
1887	1887
1451	1526
7255	7076
3977	3977
38	38
4106	4044
433	384
12303	12367
0	7253
2731	2734
14	14
4839	4943
1009	997
14150	14542
3559	3584
1516	1516
8443	8568
4314	4023
5251	1576
20478	20481
5108	5110
1032	12
4164	469
7805	377
103	103
4332	4193
4376	4340
0	0
0	0
4264	4129
643	643
42846	0
2586	3531
14	14
8680	8412
6417	6417
185	171
4592	9575
27002	42437
13527	9216
646	547
6566	3
6043	6181
9825	9759
5390	0
196	196
5717	5804
28378	29086
17	17
4395	4849
2	0
38	38
4648	5425
5553	5726
640	662
8649	8442
10126	0
26012	26024
16	16
1200	1200
3023	2739
7868	7770
5222	5174
6383	6521
23909	23932
0	0
9575	9690
5853	5757
756	778
7031	6954
449	5549
4470	3831
12618	12823
1713	1704
15373	12668
196	196
6394	6443
6978	7109
32	32
14	14
30294	30294
1748	1748
10377	10377
4533	4533
7314	4485
13167	13589
38	38
16941	17024
2	0
6869	6852
6561	6613
3131	3132
1220	1221
4143	3508
8990	32
43	43
2952	0
14487	14291
8493	8074
13682	13661
18	18
11778	10933
7581	8382
24173	28287
124	124
6182	6363
12	55
9614	10579
678	700
9099	9579
6175	6197
1338	1341
2671	2843
8747	8720
8914	9259
6069	6415
7855	1210
8	8
3613	3655
5736	8448
174	24
642	547
14984	14768
38	38
59	59
634	656
2362	2362
10	10
4264	4264
0	336
4451	4219
18752	11402
1409	1409
13164	247
14	14
38	38
777	793
20880	20844
8193	8146
25	25
10814	11235
465	465
700	12
1032	12
4701	4701
8218	8255
196	196
5808	5933
3756	55
12	55
3142	3133
4257	4208
9656	11103
4	4
8880	8722
38	38
19542	19542
6112	6097
8286	8151
0	0
8385	8357
1827	1832
0	0
9013	11462
4539	4683
0	32
4492	4370
63	43
2158	2150
22642	25646
13366	13733
5328	4144
2	0
11070	11248
4921	4921
4001	3993
5583	5651
10455	40
634	656
12	12
7013	6974
7510	7483
3827	3843
5549	3549
7214	7315
4032	4157
2894	2894
14315	14300
636	547
38	38
7618	7627
9830	9859
7196	8577
8	8
5978	6144
2795	2792
12639	12523
3247	3214
41449	6627
1320	1231
6750	348
12340	12747
91	383
5317	4306
7297	7228
10922	11040
4544	4541
1911	1630
7976	7949
5740	5930
315	315
6064	6023
628	650
7488	7474
22536	0
7026	7045
804	804
8304	8284
10309	13367
5997	6361
43	43
2919	3787
6987	7178
632	654
18	18
12802	13652
540	540
2843	2806
20401	20520
0	0
3805	3994
7561	7395
6826	6902
10290	10480
6161	7907
5156	5090
5344	5269
14756	14847
13582	25520
376	708
2413	2403
1141	1127
6045	6038
8631	8631
8372	9008
2007	2007
41085	44127
518	518
21361	18587
0	0
6929	7177
11159	21
20075	0
5839	6653
12	55
4492	4023
3483	3385
10367	9156
6968	7494
5525	27
13957	13930
12490	165
24	8
632	654
1289	2226
68219	67414
652	674
667	671
1596	1662
3666	3453
8774	8575
7490	7480
10690	11139
15080	15596
14	14
2751	2664
628	650
8185	8014
6209	6358
93571	80291
9010	8986
640	662
1636	1636
10783	7448
1866	1810
8133	8123
0	0
19715	20561
4374	4374
2347	27
4096	3975
722	744
1378	1428
2915	2985
38	38
11170	28
0	0
1220	1220
6550	6677
637	0
22197	19781
265	265
21981	3643
17036	16449
92	32
6880	5698
20	20
670	692
9903	10112
5173	5120
3758	3767
5059	5034
38	38
6513	7178
3717	4382
12	55
1636	1636
10347	34849
662	301
8527	8380
2484	2476
8272	9818
4778	40
11646	11548
5908	6292
9217	8446
12689	15306
75	536
12	55
7538	7502
10271	10511
5795	5879
20079	19927
10890	10841
7457	6534
27	27
208	208
5615	5976
15594	15567
529	547
12	55
1004	1032
6312	6476
6720	6881
8888	0
196	196
5288	5478
529	547
16	16
38	38
345	345
1636	1636
9266	10460
7355	7387
1002	1030
1127	999
38	38
474	474
6107	6131
3179	0
6048	6005
7572	7611
10821	7909
1629	0
1192	1172
8	82
18582	18088
9237	9691
30768	31354
5014	5036
10892	10909
1569	0
11802	11942
4591	4526
12314	26901
146	2077
640	662
17	17
5579	5048
16240	0
6436	6512
2	2
1364	1364
615	635
31814	108
28333	28859
1175	43
8842	0
17359	17402
2899	2902
1220	1220
6130	6201
2900	2838
38	38
3056	2836
4427	393
6856	0
3262	4468
58	66
2336	2961
2407	2421
879	879
7249	7241
1891	1694
2771	2857
6461	6331
1757	1645
5347	5665
6656	9786
2203	2199
3328	3922
6733	6964
6452	6210
24	24
980	0
0	0
3449	407
21039	21246
26547	32044
38	38
10	10
8194	8399
8675	8635
12689	15306
14	14
3869	3805
15402	12613
34690	55
11208	11301
5649	4938
1463	1463
8448	8457
11422	11422
10721	11115
6241	3694
13001	14280
14068	12822
22	22
