Old	New
96238	95448
48519	9921
716	698
90122	91274
197101	194628
104258	102623
24212	14395
100518	90329
80264	117127
118303	155561
7579	7447
726	2283
17864	258
51122	51713
73163	75324
99315	99031
152263	197234
43291	50640
6773	6746
2495	2361
100710	98708
98271	77187
100493	72720
406667	305985
38277	41312
90122	91274
104113	102588
79788	15696
73093	72508
20033	19420
157352	161119
102205	104117
152027	158217
154563	153200
37878	37356
5736	5323
93159	94772
0	0
27346	15528
82394	83449
139518	140548
36151	37268
12905	13248
95719	94656
0	0
37010	37273
1151	1151
4624	4503
54286	54286
15449	15442
14742	14704
27182	27004
23113	13216
5072	5070
99054	31343
35533	37833
18246	18187
278348	280225
143310	143969
161760	180386
4969	4858
218173	271793
12272	12230
210608	209045
114802	108286
107897	115254
145831	1603
67704	60119
21309	0
22816	22310
80919	81324
53835	53308
25287	24067
146458	149736
122674	117604
44899	44030
29948	29784
148907	157375
72539	72675
118284	110307
161922	185824
94397	80395
99851	98096
722	704
25654	15083
86163	84541
118286	155007
7779	14633
64380	64142
41938	41806
41390	41202
26012	25206
141665	141100
1590	54278
407609	570247
255692	253960
106305	108832
147846	0
12847	12414
181	0
149	144
46404	46150
251	244
2531	0
140708	143570
589793	589793
645514	584854
28301	27458
51304	53926
41438	43975
12314	12314
113242	119538
21995	22119
35655	26029
80185	116991
68414	64729
94700	96766
9994	6794
2666887	2666887
242793	224869
161059	157238
40528	33398
84736	84770
32516	31676
2701	2632
212450	216730
30211	133742
38122	37113
145607	157139
2267	303336
17497	254
37657	36904
17487	256
10372	10129
14314	7245
334705	320212
3999	3999
189997	182478
72254	72678
66980	1583
80142	87306
106335	99631
11446	281
2701	2632
63691	119727
198437	163485
5119	5012
23629	23729
17133	17171
186751	151624
41591	40114
48885	47708
23912	14131
143561	173768
27490	27312
99910	76966
108251	120002
0	548
120877	120010
24223	26580
32572	24204
467	515
44209	34670
143124	174075
138367	107912
166758	168740
93631	97066
6460	6432
178416	53658
48656	47479
160300	166867
72574	55039
287732	1597
3256	3205
80736	85630
184069	157905
116434	114554
24820	27204
246400	249745
93376	145668
134746	131328
12434	12251
23837	24710
78337	78210
120465	117256
101613	91660
117687	131317
221109	270514
6672	490440
158188	164218
35463	35671
564155	0
75540	77095
32570	33768
22882	25167
33951	35107
22730	25125
104243	168578
208321	210448
44363	44228
32545	33068
12449	0
11504	11354
6948	6903
