ARTICLE                                                                                              CLASSIFICATION      
Get to know the Great White Sharks of Guadalupe                                                      shark details       
Do we need a shark cull at Reunion Island?                                                           news                
How many Great White Sharks are at Guadalupe Island?                                                 shark details       
Have a Sharky New Year!                                                                              news                
Do shark repelling devices work?                                                                     news                
Is shark diving beneficial for the sharks?                                                           conservation        
Is cage diving safe?                                                                                 news                
I was surrounded by bull sharks!                                                                     trip details        
Update from Guadalupe Island                                                                         trip details        
Shark feeding to be banned in US waters?                                                             news                
Another shark attack in Australia?                                                                   news                
I was surrounded by bull sharks!                                                                     trip details        
Shark "Expert" teaches how to survive a shark attack?                                                news                
How do you choose the right shark diving operation?                                                  news                
What's it like to come face to face with a Great White Shark?                                        shark details       
Update from our friends in Fiji                                                                      news                
Who is more aggressive,  a Bull Shark or  a Great White?                                             shark details       
Our friends in Fiji made it through the cyclone!                                                     news                
Is "BAD" really GOOD?                                                                                news                
What is sustainable shark diving?                                                                    news                
What kills fewer people than sharks each year?                                                       news                
Wanna dive with Bull Sharks?                                                                         trip details        
Can our loving sharks be bad for them?                                                               conservation        
Breaching great white sharks at Guadalupe Island                                                     news                
How not to dive with sharks!                                                                         news                
Paul Watson and the sinking of the "Ady Gil"                                                         news                
Sharks in a pool?                                                                                    news                
Conservation shark diving in Fiji                                                                    trip details        
Support shark conservation at Guadalupe Island                                                       conservation        
Science Expedition to Guadalupe Island                                                               trip details        
Do sharks get cancer?                                                                                conservation        
Island Of The White Sharks                                                                           trip details        
New sharks at Guadalupe Island                                                                       shark details       
Talking about Sharks, Feeds the Frenzy                                                               trip details        
Great White Sharks, Dolphins and a "Sea Monster"                                                     trip details        
"Aggressive" shark closes San Diego Beach                                                            news                
30 White Sharks and a pod of Orcas                                                                   trip details        
Bigger than Deep Blue. The biggest shark at Guadalupe Island!                                        trip details        
Courageous sea lion                                                                                  shark details       
Who is at Guadalupe Island?                                                                          shark details       
If you love sharks, you're going to love this movie!                                                 news                
Are the sharks going to be safe at Guadalupe Island?                                                 shark details       
Biggest White Shark ever filmed?                                                                     shark details       
Awesome great white sharks at Guadalupe Island                                                       shark details       
Valerie Taylor, the most glamorous shark advocate in the world                                       news                
Shark Week at Guadalupe                                                                              trip details        
Sad news out of Fiji                                                                                 news                
Anyone can help save sharks                                                                          conservation        
White Sharks Shock California Lifeguards?                                                            news                
Shark attack in North Carolina                                                                       news                
"Expert" advice by Julie Andersen                                                                    news                
Biggest Great White Shark?                                                                           shark details       
Great White Sharks at Guadalupe                                                                      shark details       
Win a week of diving with bull sharks!                                                               news                
Chris Fischer and OCEARCH's feelings are hurt!                                                       news                
Forget Jaws! Sharks can SAVE lives!                                                                  news                
Celebrities at Guadalupe Island                                                                      shark details       
Sharks need your help in Florida!                                                                    conservation        
Amazing!                                                                                             shark details       
Shark "Documentary" causing problems in New Zealand                                                  news                
Surfer critically injured by shark off southern Australia; witness reports large great white         news                
Giant Shark scare in the UK                                                                          news                
Revolution, a film by Rob Stewart                                                                    news                
Conservation done right. BAD is good!                                                                conservation        
How every diver can help with shark conservation.                                                    conservation        
Bull sharks in Fiji                                                                                  trip details        
Working with Fishermen to Save Sharks                                                                conservation        
Shark sighting in Portugal                                                                           news                
Jaws, lemon shark                                                                                    shark details       
Shark Attacks And The Media                                                                          news                
Shark trying to bite through steel cage?                                                             news                
How do you get taken seriously as a conservation activist?                                           conservation        
Do sharks really mistake humans for seals?                                                           news                
Awesome volunteer opportunity for 16-19 year olds!                                                   trip details        
Looking for a summer job, but would prefer an adventure?                                             trip details        
How do you make a viral video?                                                                       shark details       
Here is your chance to make your own shark diving movie!                                             trip details        
New shark research method?                                                                           news                
Randy Jordan, what sharks like to eat.                                                               news                
Deadly shark attacks in California?                                                                  news                
Switzerland bans the importation of shark fins!                                                      news                
Hammerhead shark attacking diver?                                                                    news                
Are white sharks parenting their offspring?                                                          news                
Really cool shark!                                                                                   shark details       
Dead Sharks, Selfies, and Shark Fin Soup?                                                            conservation        
Great White Shark in the Water?????                                                                  news                
Memorial announced for "Island of the Great White Shark" filmmaker, Richard Theiss                   news                
Last chance, if you want to work with great white sharks!                                            trip details        
We lost the "Shark Lady" Eugenie Clark.                                                              news                
Are we to blame for shark attacks?                                                                   news                
Is saving the Oceans saving people as well?                                                          conservation        
Former Shark Diver CEO saving the Oceans?                                                            conservation        
Volunteer opportunity for shark conservation in Fiji                                                 trip details        
Do you want to work with Great White Sharks?                                                         trip details        
We lost a great friend and shark advocate.                                                           news                
Do you want to join a researcher at Guadalupe Island?                                                trip details        
Wanna join us on a film expediton to visit the Great White Sharks at Guadalupe Island?               trip details        
The "baddest" shark at Isla Guadalupe?                                                               shark details       
Australia. Sabotaging Eco Tourism?                                                                   news                
Shark Attack in Australia? What really happened.                                                     news                
